,income_bin
20180,0
31531,1
5881,0
29601,0
2662,0
20514,0
4853,0
2383,0
9409,0
19945,1
28623,0
2075,0
14481,0
12579,0
15775,1
21421,1
28523,1
3567,0
27384,0
3469,0
5983,0
14937,0
25717,0
31766,0
18660,1
6828,0
1186,0
23478,0
25922,0
26840,1
21849,0
2529,1
31221,0
17607,1
18730,0
29008,1
1383,0
21360,0
1130,0
346,0
29673,0
26777,0
17836,0
7155,1
20783,0
19380,0
17632,0
11343,1
31827,0
13127,0
29533,0
30587,0
30442,0
25464,0
26902,0
25771,0
4500,0
13810,1
14804,0
18245,0
16944,1
4967,1
28384,0
28305,0
30775,0
1681,0
3674,1
8955,1
11178,1
3713,0
16070,0
32455,1
26988,1
8770,0
20874,0
13045,0
20057,1
9861,0
16641,0
22910,1
24088,0
1167,0
24416,0
30324,0
18689,0
16714,0
30335,0
22283,0
16859,0
6384,1
24565,1
1843,0
6499,1
10125,0
14983,0
19272,1
31174,0
13928,0
4574,0
8122,0
8756,0
14845,0
2423,0
17833,0
12367,0
7988,0
32483,0
25189,0
10731,0
26452,0
13122,0
2416,0
23384,1
2221,0
28578,0
32540,0
32125,1
20976,0
25172,1
2015,0
15513,1
3620,0
12716,0
8314,0
12519,1
10346,0
19181,0
14747,0
21219,1
5378,0
8275,0
21449,1
5325,0
14759,0
18529,0
7778,0
26552,0
12351,0
27884,0
31239,0
24676,1
2326,0
15759,0
7483,0
22634,1
24690,0
19058,0
26114,0
5415,0
24692,0
84,1
12369,0
319,0
26254,0
19045,0
9092,0
19610,0
30487,0
20197,0
2415,1
21728,0
28378,1
22544,1
19893,1
25488,0
23370,1
20930,0
26922,0
4377,0
6861,0
21181,1
19330,0
31615,0
20118,0
26546,0
10677,0
10708,1
16632,0
19197,0
25803,1
2197,0
3829,1
24723,0
31698,0
26687,0
30686,0
17357,0
14194,1
16798,0
3163,1
1294,0
18138,0
4727,1
19314,1
17807,0
14096,1
15918,0
22959,0
9660,1
715,0
10236,0
26775,0
962,0
29922,0
528,0
7540,0
30024,0
27823,0
27267,0
29924,0
3267,1
17509,0
31500,0
29298,0
26792,0
3381,1
13774,0
29066,0
29550,0
202,1
23272,0
23554,1
7663,0
7141,0
14106,0
19273,0
13066,0
1849,1
25516,0
14694,0
26066,0
11452,0
29760,0
6478,1
24866,1
29812,0
30954,1
25722,1
1113,0
10137,1
8188,0
2561,0
15840,0
1872,1
5402,0
14912,0
9966,1
23469,0
25733,1
3903,0
18899,1
23298,0
3505,0
14522,0
29666,0
16602,0
1699,0
18650,0
3553,0
26513,0
3631,0
7306,0
3783,0
3740,1
9741,1
16759,1
15658,0
18706,0
30025,0
7184,1
5147,0
30253,0
5761,0
24730,0
27373,0
11578,1
30354,0
15001,1
23105,0
3430,1
3874,0
16077,0
15638,0
9502,1
10684,0
1948,0
26441,0
16646,0
23178,0
3408,1
26128,1
5425,1
32226,0
1004,0
27678,1
6626,0
10849,1
6849,1
26674,0
8138,0
12348,1
15783,1
13643,0
5412,0
5205,0
18364,1
17671,1
29142,0
15834,0
22160,0
14017,1
16258,0
25386,0
3699,0
11696,0
29583,0
15380,0
29252,0
21348,0
4748,0
24828,0
26535,0
25060,0
11844,0
20573,0
3072,0
13883,0
26956,0
14879,0
29697,0
6628,0
23884,0
16336,0
21394,0
21205,1
17890,0
6470,0
5345,0
18135,0
17679,0
4330,1
4719,0
7229,0
22829,1
27435,1
7372,0
27180,0
16853,0
1807,0
19630,0
3909,1
8923,0
21738,0
30298,0
19853,0
8782,0
5564,0
31428,0
22152,1
25400,0
6543,0
6653,0
8655,0
11779,0
14870,0
29260,0
9578,0
5277,0
2835,0
2305,1
19452,0
10252,0
20259,0
5952,0
14259,1
26574,0
27785,0
10906,1
23162,0
1651,0
31955,0
5639,1
20595,0
13901,0
16881,0
6185,0
21926,0
9170,0
27670,1
26885,0
27602,1
16927,0
32408,0
21283,1
1481,1
18735,0
11538,1
5525,0
18929,0
3800,0
10408,1
13113,0
6900,1
30516,0
25971,0
31369,0
31253,0
14668,1
32130,1
24984,0
28258,1
28454,1
1252,0
7392,0
19846,0
17238,1
12791,0
24389,0
5632,0
10875,0
14761,1
8635,0
19421,0
32489,0
17278,0
17745,1
14968,1
27566,0
2211,0
426,0
7223,0
15682,0
8155,0
21035,0
22924,1
25457,0
25222,1
30881,0
19923,1
22094,0
8261,0
11563,0
5469,0
1838,0
27934,0
6657,0
27363,1
22771,0
4743,0
18897,0
29365,0
20747,0
10487,1
21201,1
8673,0
18081,0
21784,0
22947,1
17153,1
26965,0
9614,0
8519,0
28735,1
29080,0
15375,1
17549,0
16104,0
15571,0
25076,0
12477,1
6192,1
9666,0
7125,0
16156,0
27894,0
26867,0
8151,1
0,0
2897,0
18368,0
14466,0
2852,0
10534,1
17825,0
1187,0
24222,0
1450,0
11520,0
32501,0
6286,0
27748,0
13044,0
23049,0
9412,0
12350,0
19725,1
12681,0
10169,0
26785,0
15476,0
2764,0
14475,0
26531,0
936,0
4101,0
6391,1
24955,0
18940,0
2492,0
27917,0
3964,1
17327,1
3127,0
26530,0
15637,0
31014,0
16807,0
7106,0
24644,0
3010,0
2510,0
30623,0
7649,1
5451,0
21560,0
9168,1
13372,0
2847,0
17214,0
10483,1
22688,0
13614,0
25901,0
27952,0
23543,1
29043,0
22979,0
2451,0
29387,0
24606,1
11167,0
19791,1
9775,0
30310,0
32083,0
16353,0
11464,0
1975,1
13540,0
3623,0
18181,0
27617,0
4854,0
28430,0
7903,0
8203,0
5598,0
24082,0
8385,0
24393,0
26225,0
21432,0
4758,1
23129,0
2216,0
17353,0
4856,0
5119,0
26263,0
10369,0
25123,0
17572,0
26954,0
4923,1
4800,0
15552,0
18010,0
8624,0
11750,0
6749,0
15695,0
6715,0
22892,0
976,0
5440,0
9912,0
11290,1
15364,0
32317,0
7513,1
22105,0
9674,0
8791,1
19822,1
27358,1
10321,0
20438,0
25737,0
31822,0
22922,0
15315,1
18465,0
11889,0
5071,0
1792,0
12962,1
32183,1
16446,0
30978,0
6274,0
24785,0
1726,1
32188,0
8999,0
8154,0
20830,0
16163,0
1757,0
16662,1
2886,1
10702,0
28011,0
5886,0
15978,0
17917,0
27204,0
10241,1
5460,0
14889,0
13731,0
23447,0
23990,1
4597,1
30899,0
7553,1
20803,1
5953,0
30382,0
707,0
22830,0
6651,0
2258,1
13198,0
19508,0
16260,0
30951,1
4861,0
31932,0
10386,0
11507,0
5134,0
18700,0
29679,0
13506,1
31622,0
13206,1
23318,1
24717,0
7376,1
20669,0
26304,0
7241,0
32067,1
24231,0
32009,0
30115,1
5389,0
31858,0
17716,0
485,0
30459,0
6981,0
7733,1
329,0
7224,0
29325,0
2701,0
435,1
8916,0
14304,0
32295,1
24185,0
16559,0
13148,0
4282,0
27708,0
22855,0
11626,0
26806,1
19092,0
950,1
19884,0
26285,0
24197,0
11517,0
10996,0
31178,1
14706,0
21237,0
28560,0
24407,1
7888,0
19719,0
18812,1
28123,1
1547,0
12931,1
14311,0
10858,1
16749,0
11874,0
32538,1
8821,0
11852,1
21528,0
4945,0
4316,0
30094,0
8657,0
16331,1
9311,0
12834,0
29720,0
3304,0
1269,0
30889,0
31278,0
23968,1
28356,0
10978,1
5697,0
17547,0
17243,0
12607,0
22539,0
9832,0
23921,0
29439,0
10856,0
13061,0
22964,1
6714,1
32041,0
14638,0
20532,0
3962,0
12779,1
13480,1
2205,1
12614,0
31138,0
11673,0
13379,0
11736,0
1237,0
32166,0
30527,0
7050,0
18844,0
18155,1
17879,1
14386,0
15786,0
1781,0
7845,0
21563,0
12300,1
27827,0
6235,0
30274,0
1251,0
10182,0
15037,1
9941,1
21778,0
26660,0
2714,0
14392,0
30393,1
26932,0
14487,1
4623,0
5428,0
24789,0
26800,0
27775,0
12056,0
9339,0
29808,0
4168,0
25335,1
20287,0
8033,0
12618,0
4328,0
9391,0
26727,1
9988,0
12373,0
2403,1
3480,1
4825,1
28075,0
19019,0
13842,0
1701,0
8710,1
9687,0
20069,0
3730,0
15011,0
26540,0
4886,0
21668,1
15106,0
18180,0
29288,0
20206,0
32433,0
20833,0
18170,0
7944,1
9961,0
14825,0
18936,0
10536,0
1802,0
18920,0
29959,0
8054,0
9622,0
29784,1
4196,0
6948,1
23134,0
24299,1
8459,0
10258,0
15899,0
8195,1
5163,0
21018,0
2341,0
15559,0
14973,0
7722,0
9230,0
27325,0
16635,1
29303,1
11813,0
5307,0
29032,1
24937,1
6672,0
29449,0
4488,0
28202,1
12176,0
11836,1
4065,0
28284,0
22154,0
10191,0
23943,0
28569,0
21074,0
32094,0
254,0
8035,0
20350,0
2223,0
27907,0
1724,0
28831,0
10042,1
18587,0
4481,0
22663,0
21952,0
27002,1
13011,0
24447,0
1617,0
29131,1
29685,0
13095,0
16715,0
19464,1
12459,0
21911,0
27324,1
490,0
6886,0
19236,0
19787,0
25732,1
6347,0
21892,1
6923,0
22610,0
20550,0
4218,0
17465,0
8554,1
9884,1
15872,0
28165,0
11012,0
2277,0
4798,0
15958,0
21296,0
17963,0
10239,0
20766,0
26148,0
4491,1
25317,0
9302,0
16431,0
22027,0
24101,1
25951,0
20103,0
9523,1
9440,0
6913,0
1426,1
9082,0
23389,1
25634,1
30570,0
11074,1
13481,0
4903,1
11353,0
22996,0
29160,0
19931,1
12366,0
26013,0
8191,0
30677,0
4841,0
4255,1
11164,0
26143,0
1595,1
31950,1
6544,0
5353,0
15050,0
7002,0
31208,0
14563,0
20714,0
30661,1
512,0
24347,0
32271,1
4343,1
7573,0
21605,1
13910,0
26076,1
24201,1
338,0
19595,1
18172,0
10740,1
3581,0
8037,0
32324,0
26418,1
13677,0
11378,0
6227,1
6471,0
26278,0
2748,0
31274,1
1687,1
14076,1
7586,0
12049,1
20512,1
24302,0
8445,0
21977,0
22308,0
1200,1
23292,0
29684,0
23023,0
2879,0
2538,1
14178,0
25629,1
4402,0
8324,0
4091,0
16380,0
15395,0
927,1
15455,1
30015,0
1758,0
4943,1
14646,0
9623,0
25134,0
19347,1
2325,1
25246,0
19927,0
27544,0
26326,0
5131,0
21144,0
23665,0
13891,1
29761,0
25588,0
22504,0
5194,1
19178,0
21343,0
24679,1
9054,0
11544,0
26112,0
27194,0
11652,1
17097,0
2050,0
5305,0
25727,0
20456,1
8139,1
11039,1
25183,0
10652,0
25542,0
26232,0
5339,0
6850,1
11654,0
3515,1
8701,0
1023,0
16610,0
24331,0
21917,0
26384,0
18978,0
1434,0
22053,0
9356,0
30379,0
3212,1
7699,1
9893,0
9335,0
15104,1
2631,1
12474,0
21782,0
5221,0
32391,0
17252,0
30784,0
10903,0
24350,0
16642,0
14852,0
9858,0
21764,0
13320,0
19707,1
5486,0
20966,0
15877,0
10491,0
20986,0
1733,0
24334,1
6181,1
31904,0
9324,1
11475,0
24842,0
19674,0
22991,1
24042,0
9731,1
24025,1
22770,0
4036,0
19174,0
22760,0
18173,0
16322,0
28463,0
18175,0
13549,0
8057,0
18497,1
21564,1
4944,1
7761,0
21741,0
6746,1
10855,1
16087,0
8995,0
2375,0
5130,0
3441,0
26944,0
1508,0
25369,1
19130,1
11597,1
13158,0
5538,1
30644,0
6076,0
8434,0
3944,0
20184,0
12935,0
1865,0
19218,0
31025,0
13632,0
1961,1
32163,0
23836,0
31922,0
19880,0
11147,1
23361,1
29280,0
8485,0
7917,0
14590,0
6148,0
21375,1
14993,1
9180,1
5504,0
29702,0
12458,0
21206,1
17459,0
23489,1
15782,0
16808,1
9037,0
1602,0
20967,0
29289,1
1016,1
6336,0
26244,0
5692,0
7146,0
19574,1
3580,1
18102,0
7746,0
1544,0
22833,0
29904,0
29788,0
5854,0
16728,0
20636,0
9781,0
13735,0
7220,0
6546,1
7282,0
11002,0
31147,0
578,0
23591,0
22720,1
21988,0
32212,0
6843,1
11931,1
13203,0
30712,0
21089,1
18613,0
14465,0
21269,0
24167,0
25250,1
13543,1
19649,0
19701,1
22653,0
10516,0
9108,1
25299,0
22713,1
21305,0
27124,1
26937,0
23891,0
8571,0
7732,1
11540,0
31627,0
29472,0
32173,1
4595,1
31788,1
17552,0
32457,1
6873,0
14736,1
32444,0
15653,0
13108,0
27143,1
19771,0
20317,0
10620,0
17441,0
19392,0
24960,0
29333,0
28712,0
9361,0
6376,0
24574,0
6729,0
16324,0
15895,0
2003,1
7567,0
20391,1
31679,0
2570,1
2461,0
5364,0
31613,1
15881,0
3256,1
12394,1
20109,0
9398,0
2768,0
4832,1
8197,0
18076,1
24282,1
25192,0
15371,0
10717,0
1296,0
6488,0
3768,0
8413,1
3206,1
27885,0
17008,0
13467,0
7509,0
58,0
3715,0
9753,1
4593,1
9205,1
30906,0
31066,0
21365,0
13187,1
16471,0
39,0
6079,0
11407,0
2619,0
5322,0
11971,0
21428,0
29117,1
2349,0
18045,0
19984,0
32216,1
22433,0
19158,0
13105,0
20530,0
5558,0
19026,0
14824,0
21247,0
26399,0
26397,0
1928,0
22149,0
15618,1
25875,0
13265,1
4941,1
22612,0
25662,0
14093,0
4235,0
24752,0
26003,1
6456,0
14034,0
12883,0
30150,0
10553,0
13243,0
27065,0
25323,0
24391,0
28360,0
27892,1
14862,0
13050,0
2303,0
22453,0
25005,0
23866,0
28710,0
18661,0
3131,0
3812,1
13993,0
9289,0
16232,0
18177,0
20868,0
22056,0
9476,0
11388,0
19664,0
24737,0
10719,1
1898,0
4577,0
20007,0
28044,0
32234,1
16901,0
27409,0
6325,1
15498,0
30225,0
29907,0
28529,0
24180,1
13154,0
5078,0
22508,0
10420,0
25066,0
19813,1
10786,1
9425,1
19561,0
14478,0
29987,0
14381,0
1685,1
4985,0
