,SalePrice
943,119750.0
187,159900.0
619,192000.0
1950,127000.0
158,103000.0
1784,169900.0
272,120875.0
614,138000.0
1829,140000.0
1665,194700.0
1536,94000.0
371,148000.0
222,131000.0
593,315000.0
1000,213000.0
2180,187000.0
1907,144500.0
136,154900.0
518,142500.0
1718,229800.0
334,386250.0
963,165000.0
1861,136000.0
1509,246578.0
829,125000.0
710,182000.0
15,184500.0
939,134432.0
1289,134500.0
1818,141000.0
1991,301000.0
570,182000.0
654,59000.0
1080,94000.0
1418,186800.0
465,148000.0
1577,145000.0
199,130500.0
1476,200624.0
1546,285000.0
1247,220000.0
1720,348000.0
1448,127500.0
1908,153000.0
1997,151400.0
1104,136500.0
591,252000.0
2194,225000.0
1653,212000.0
1673,212000.0
2108,235000.0
925,344133.0
1772,142000.0
43,91900.0
1723,120000.0
274,127000.0
1293,58500.0
101,298751.0
1120,96000.0
1010,159500.0
1233,70000.0
107,176000.0
1113,162000.0
497,142500.0
2185,178400.0
2182,185000.0
1036,173000.0
891,215000.0
2055,119900.0
1303,208300.0
1914,125000.0
1984,129900.0
849,350000.0
1241,260116.0
712,132500.0
72,127000.0
500,200000.0
2040,100000.0
1764,188000.0
1091,207500.0
481,178000.0
1261,190000.0
506,212999.0
2082,186500.0
1544,136500.0
1477,205000.0
2190,316500.0
2114,140000.0
1555,149000.0
916,185000.0
2184,147000.0
1112,165600.0
311,179900.0
2019,178000.0
405,228500.0
976,191000.0
1037,158000.0
1228,95541.0
1460,135000.0
1344,175000.0
309,167900.0
226,159900.0
743,200500.0
2009,161500.0
988,155000.0
1451,227000.0
2171,110000.0
1580,171500.0
1491,185000.0
1948,75000.0
148,121000.0
1994,124000.0
1094,107900.0
1078,188500.0
291,147500.0
692,232698.0
818,117000.0
704,253000.0
1084,137000.0
1925,132000.0
1684,187500.0
575,131250.0
557,124500.0
1302,226500.0
701,119000.0
1027,80000.0
1360,119900.0
1382,151000.0
2046,189000.0
1128,195000.0
748,460000.0
1366,213490.0
861,305000.0
167,175000.0
730,412083.0
1200,138000.0
286,232600.0
1061,230000.0
1892,185000.0
1022,145000.0
628,192000.0
598,210000.0
1561,158500.0
377,120500.0
1932,155000.0
1391,235000.0
1873,183000.0
1229,163000.0
1628,143000.0
1301,170000.0
41,190000.0
1463,245000.0
2129,170000.0
1414,169000.0
1929,144000.0
1047,126000.0
1310,200000.0
1765,108480.0
609,195000.0
1234,191750.0
1537,104000.0
1683,162000.0
1029,130000.0
1447,39300.0
493,150000.0
1557,166000.0
277,179000.0
757,190000.0
2115,150000.0
358,143000.0
1309,129000.0
236,123000.0
551,377500.0
520,215200.0
1259,334000.0
208,80000.0
1637,137000.0
720,90350.0
1989,280000.0
1845,175000.0
1646,305000.0
58,132500.0
631,125000.0
1870,173500.0
1245,128250.0
592,157500.0
1862,213000.0
363,140000.0
2117,170000.0
505,322400.0
1574,213133.0
1605,221500.0
1977,177500.0
1891,325300.0
733,158000.0
1428,46500.0
2110,254000.0
1170,190000.0
1848,160250.0
1083,93000.0
118,150750.0
1466,174000.0
706,122600.0
2056,127000.0
745,290941.0
522,133000.0
1395,289000.0
1087,185000.0
1850,141000.0
513,136870.0
81,116000.0
1855,137500.0
1075,174900.0
1315,127500.0
914,155000.0
380,81000.0
1307,227680.0
1996,213250.0
84,252678.0
1979,133500.0
672,160000.0
774,455000.0
329,155000.0
6,128000.0
1745,335000.0
1587,181316.0
909,152000.0
468,180000.0
181,170000.0
164,394617.0
1530,189950.0
451,130000.0
1701,139000.0
490,215000.0
1064,180400.0
2111,130000.0
287,164000.0
2010,137500.0
87,225000.0
1613,272000.0
802,135000.0
1044,204000.0
979,215000.0
2033,137000.0
2012,189000.0
1067,195800.0
1124,171925.0
2125,122500.0
1468,84500.0
1316,148000.0
1949,345474.0
327,373000.0
1358,372500.0
442,240000.0
834,152000.0
1725,111000.0
1053,158000.0
832,216000.0
1273,137000.0
348,118000.0
1689,141000.0
177,745000.0
974,100000.0
1639,240000.0
1615,123000.0
86,232000.0
1667,208500.0
2145,136000.0
1928,139900.0
457,179540.0
777,173000.0
1138,172500.0
642,173900.0
2102,106000.0
54,131000.0
1433,195500.0
1776,100000.0
1727,149900.0
643,135000.0
1278,336000.0
1196,92000.0
677,143000.0
221,55000.0
113,231000.0
1960,143000.0
987,126000.0
1441,174000.0
1194,172000.0
174,290000.0
1058,135000.0
589,153500.0
1622,78500.0
1844,187500.0
18,154000.0
423,145000.0
1582,164900.0
285,84900.0
1869,203000.0
428,105000.0
1785,239000.0
1033,200000.0
669,118500.0
31,155835.0
1611,270000.0
722,275000.0
951,325000.0
1575,128500.0
1341,161000.0
214,300000.0
1362,115000.0
1508,115000.0
2029,258000.0
1681,239686.0
326,177500.0
560,139000.0
1835,84000.0
700,127000.0
1553,91500.0
1469,61000.0
341,390000.0
629,207500.0
147,168500.0
1404,83500.0
1645,152500.0
966,140000.0
155,156000.0
1728,214000.0
1220,153000.0
1780,226500.0
2073,163500.0
1655,341000.0
1411,213000.0
2067,221500.0
1237,122500.0
2060,88000.0
1361,187500.0
2054,177500.0
1905,131000.0
938,445000.0
1909,555000.0
346,151500.0
2192,220000.0
2175,62500.0
385,152400.0
1202,148500.0
1586,180000.0
243,106500.0
1936,293200.0
936,120000.0
1744,139900.0
312,105000.0
2144,64500.0
968,212000.0
660,294000.0
1760,401179.0
370,350000.0
566,230500.0
1502,290000.0
824,197000.0
982,138800.0
1161,270000.0
813,124000.0
778,232000.0
1052,281500.0
1383,202900.0
1013,85000.0
1299,141500.0
1614,131900.0
126,135000.0
887,128600.0
1007,239000.0
355,246500.0
1773,280000.0
682,334000.0
1814,155000.0
1133,115000.0
984,96000.0
1820,145000.0
140,133500.0
1700,265979.0
1578,165500.0
2078,106500.0
1859,93369.0
1292,124000.0
1106,187500.0
1691,282000.0
711,96900.0
1116,184500.0
1985,165000.0
10,225000.0
1323,345000.0
1287,410000.0
754,169000.0
626,131000.0
1313,179000.0
129,260000.0
843,93500.0
323,127000.0
1285,129000.0
14,410000.0
1576,195000.0
215,250764.0
1231,175000.0
2106,242500.0
1251,230000.0
864,196000.0
516,202500.0
597,228000.0
195,115000.0
288,147500.0
950,78000.0
1934,122000.0
1640,174190.0
549,194000.0
156,52500.0
419,112000.0
922,262000.0
477,214000.0
1249,133500.0
553,342000.0
390,110000.0
578,146000.0
2018,137900.0
1244,318750.0
1940,84500.0
820,219990.0
2104,35311.0
1006,209000.0
1412,177625.0
664,125000.0
1777,73000.0
142,185000.0
1792,179000.0
1393,100000.0
421,233555.0
799,239500.0
615,80000.0
295,82375.0
401,225000.0
88,98000.0
1567,108000.0
2162,170000.0
131,63000.0
1872,136500.0
1263,218000.0
2151,312500.0
1771,437154.0
724,186000.0
1343,147500.0
269,76500.0
1604,172000.0
917,115000.0
1736,133000.0
1554,140500.0
375,136000.0
333,195000.0
1364,155000.0
2063,475000.0
1118,125200.0
910,128500.0
776,139500.0
1651,102000.0
328,187750.0
1808,165400.0
12,231500.0
897,155000.0
171,135000.0
260,173000.0
1475,182000.0
1668,146000.0
901,160000.0
258,163000.0
844,179000.0
138,126500.0
319,150000.0
1804,145000.0
1988,200000.0
1503,162000.0
558,135000.0
139,136500.0
112,143000.0
531,149500.0
224,200500.0
723,119500.0
2030,415000.0
1732,89471.0
325,185000.0
1486,135500.0
1523,152000.0
714,103600.0
846,234500.0
193,113000.0
573,135750.0
946,141500.0
503,215700.0
1379,207500.0
1747,138000.0
645,119500.0
3,248500.0
1351,255500.0
467,113000.0
5,140000.0
1620,87500.0
547,173000.0
228,98000.0
1063,146000.0
542,552000.0
242,211000.0
898,141000.0
1333,137000.0
1160,79000.0
1903,140200.0
1280,206900.0
842,159500.0
2090,257000.0
1359,205950.0
276,241500.0
661,118000.0
1420,160000.0
314,200000.0
691,98000.0
1778,130000.0
424,200000.0
594,174000.0
2176,141000.0
622,235000.0
1807,185500.0
1232,326000.0
227,178740.0
1317,260000.0
1169,189000.0
1666,213000.0
2195,83000.0
66,137000.0
24,169000.0
1235,147000.0
144,235000.0
536,201000.0
811,200000.0
1319,199000.0
85,250000.0
1569,172000.0
1583,80000.0
1264,212700.0
484,174000.0
1876,170000.0
2099,209700.0
1618,171000.0
1839,133000.0
362,123000.0
1901,91000.0
1356,124000.0
1026,125000.0
1030,129900.0
1429,85000.0
2084,109000.0
1266,179900.0
665,160000.0
364,134450.0
1239,145000.0
77,155000.0
27,230000.0
1699,152500.0
525,113700.0
725,123000.0
55,382500.0
638,349265.0
302,94750.0
718,317500.0
624,150900.0
7,213000.0
803,190550.0
1049,279500.0
336,301000.0
47,269500.0
1750,184000.0
106,141000.0
349,142500.0
1079,181500.0
238,119000.0
213,86000.0
1144,211000.0
1513,133000.0
1338,126500.0
793,116000.0
1096,189000.0
1386,193000.0
1322,130000.0
1868,173000.0
1972,154204.0
523,314813.0
232,142100.0
644,112000.0
1782,143000.0
533,169500.0
1783,215000.0
603,172000.0
1419,171750.0
1074,300000.0
1878,268000.0
60,275000.0
1487,195000.0
92,110000.0
666,125000.0
1711,155000.0
1911,124500.0
280,167500.0
1694,155000.0
359,117000.0
1472,141000.0
1375,110000.0
847,207000.0
1206,128000.0
1730,168000.0
110,284000.0
42,230000.0
125,76000.0
204,180000.0
52,145000.0
545,165500.0
68,319000.0
1336,202000.0
1827,253000.0
183,150000.0
137,320000.0
899,197000.0
796,318061.0
132,184000.0
80,163000.0
1755,177000.0
2085,127000.0
541,150000.0
1882,130000.0
983,115000.0
165,144000.0
248,269500.0
1331,178000.0
446,177000.0
2166,157000.0
858,135000.0
1423,112000.0
97,119000.0
2127,145500.0
805,109900.0
737,150000.0
2066,119500.0
102,67000.0
434,156500.0
74,178000.0
577,164500.0
1410,103500.0
2155,224243.0
1230,170000.0
918,173733.0
1326,191000.0
2024,103000.0
1971,359100.0
1910,44000.0
762,153000.0
989,13100.0
388,252000.0
235,80400.0
1781,199900.0
267,140000.0
1329,124900.0
1394,299800.0
117,159000.0
2109,303477.0
673,298236.0
249,381000.0
1717,109500.0
2193,160000.0
94,175000.0
1452,188900.0
33,128000.0
1926,134500.0
1968,204750.0
448,139950.0
716,360000.0
1488,116900.0
1795,121000.0
0,159000.0
1621,236000.0
1101,128000.0
1108,165500.0
2032,99500.0
82,241600.0
1888,135000.0
676,127500.0
1714,615000.0
1046,97500.0
770,167900.0
1427,115400.0
1573,260400.0
1866,376162.0
1761,375000.0
404,97000.0
2159,114500.0
1584,178000.0
1656,186000.0
104,90000.0
688,316600.0
1540,123500.0
826,165000.0
1240,105000.0
62,117000.0
1305,137000.0
852,153000.0
1774,207500.0
1262,159000.0
223,105500.0
145,145000.0
1088,212000.0
373,144152.0
1680,157000.0
1142,102900.0
2105,311500.0
1767,244600.0
1274,118900.0
1265,156820.0
1889,148500.0
1494,250000.0
9,190000.0
449,310000.0
708,174000.0
255,168000.0
882,224000.0
389,135500.0
1608,109900.0
908,100000.0
924,268000.0
2014,215000.0
1874,280750.0
460,142500.0
1493,87000.0
2011,107000.0
1168,441929.0
958,215000.0
501,183600.0
739,248900.0
40,82500.0
868,126000.0
731,157000.0
539,128500.0
1201,269500.0
1339,324000.0
697,235000.0
1644,181000.0
1623,165150.0
1371,160000.0
1145,200000.0
1031,67000.0
372,155000.0
667,204000.0
1431,319500.0
1803,175500.0
357,128000.0
967,181000.0
783,372397.0
735,175500.0
1353,96500.0
1035,181000.0
970,217000.0
1983,122000.0
2043,118858.0
2164,157900.0
1867,254000.0
2122,134000.0
1801,310090.0
1328,123000.0
1592,163500.0
1763,140500.0
1425,50138.0
1464,97900.0
1937,234250.0
1252,139600.0
2003,385000.0
2028,138000.0
1236,79900.0
885,202500.0
79,255000.0
1172,121500.0
814,135500.0
1512,140000.0
671,115500.0
1810,113722.0
57,378000.0
133,171000.0
1140,500000.0
933,291000.0
1990,120000.0
823,200000.0
1432,207000.0
1609,202500.0
1214,162000.0
504,169990.0
2170,153575.0
347,61500.0
386,103200.0
1024,110000.0
1384,79000.0
894,311872.0
828,135900.0
2140,124900.0
475,165500.0
1738,147000.0
1710,423000.0
1946,109500.0
652,109500.0
172,412500.0
1474,154000.0
1149,426000.0
38,119000.0
713,159000.0
90,144000.0
166,132000.0
1205,222000.0
875,177000.0
1593,122000.0
1978,160000.0
2157,149500.0
1093,237500.0
1155,156500.0
1324,417500.0
1606,372402.0
1350,144000.0
510,203000.0
499,105000.0
1599,79275.0
1897,217000.0
1519,187500.0
338,64000.0
1941,125000.0
1188,146000.0
28,332200.0
1217,190000.0
1562,402000.0
794,109500.0
945,122000.0
1741,219500.0
169,146300.0
1658,274725.0
1197,171000.0
1542,128500.0
1253,108000.0
1650,99900.0
912,131750.0
491,556581.0
953,130000.0
1097,145000.0
1032,120000.0
587,300000.0
750,251000.0
657,143450.0
234,120000.0
732,189000.0
2189,142000.0
1924,160000.0
1156,139000.0
1737,107400.0
1833,115000.0
1917,184000.0
934,611657.0
1209,128000.0
1065,192000.0
108,174000.0
1822,245000.0
568,149300.0
1167,133900.0
1174,99500.0
1507,582933.0
1492,246990.0
890,241500.0
947,250000.0
1048,210000.0
1594,64000.0
1617,316000.0
1709,329900.0
884,126175.0
1973,147000.0
2156,176400.0
1813,161900.0
850,124500.0
1407,240000.0
734,120500.0
717,147000.0
454,300000.0
264,165000.0
75,198444.0
1957,150000.0
444,380000.0
395,235000.0
176,130000.0
1042,162000.0
2050,125500.0
1654,315000.0
1786,180000.0
1749,136300.0
595,165500.0
61,110500.0
1296,112500.0
872,315000.0
1762,207500.0
216,143500.0
278,190000.0
1548,302000.0
1392,252000.0
36,187000.0
1791,128500.0
662,140000.0
2093,310013.0
2036,183500.0
977,181000.0
1571,97000.0
1856,230000.0
738,184100.0
191,535000.0
919,160000.0
456,206000.0
1417,257500.0
675,156000.0
760,129000.0
2094,279500.0
1890,163990.0
728,128000.0
1942,315000.0
1399,153500.0
412,220000.0
1098,191000.0
1516,236000.0
1524,180000.0
825,123900.0
1769,177439.0
616,180000.0
114,235000.0
417,135000.0
2150,210000.0
1625,196500.0
969,87000.0
604,226750.0
2154,176000.0
89,201800.0
848,113000.0
1797,125000.0
2153,99600.0
753,141000.0
498,68000.0
1276,216837.0
1325,123500.0
1630,183850.0
11,94900.0
396,187500.0
284,148000.0
2146,168500.0
1066,112000.0
1191,124000.0
1440,159900.0
1600,127000.0
2052,156000.0
2051,150000.0
1450,222000.0
690,155000.0
1922,177000.0
1568,158500.0
2132,144000.0
689,130000.0
851,100000.0
1498,207500.0
159,105900.0
895,100000.0
2021,213000.0
257,170000.0
335,127500.0
2134,140000.0
1039,149000.0
515,156500.0
1348,280000.0
1015,139500.0
768,250000.0
2058,130000.0
441,65000.0
1753,110000.0
761,150909.0
1246,197000.0
1203,166800.0
1735,152000.0
1123,282500.0
521,129000.0
22,68500.0
356,545224.0
1277,254750.0
1312,148800.0
1635,218000.0
1987,145000.0
340,178900.0
431,108000.0
473,306000.0
217,225000.0
911,155891.0
1227,196000.0
1883,129900.0
1011,119000.0
957,145000.0
93,201000.0
1008,164000.0
1070,115000.0
1092,194000.0
1871,179665.0
1308,350000.0
696,215000.0
1109,113000.0
996,143250.0
1458,148000.0
1679,245700.0
153,153500.0
1099,327000.0
2031,180500.0
2196,250000.0
789,167900.0
580,102776.0
1470,193000.0
703,186700.0
1212,263550.0
1295,220000.0
1966,164990.0
1260,176500.0
487,112900.0
1624,285000.0
559,129500.0
1141,179900.0
2039,294464.0
1119,166000.0
801,245000.0
512,158000.0
633,137500.0
1748,259000.0
1664,119000.0
1012,170000.0
1825,305900.0
1150,134000.0
790,130000.0
116,163000.0
1497,149500.0
740,294000.0
1999,377426.0
1081,239799.0
1627,139000.0
830,143750.0
119,110000.0
656,155000.0
2001,171900.0
1900,200825.0
2149,116000.0
635,192000.0
369,147000.0
268,120000.0
655,263000.0
935,246000.0
822,215000.0
866,125000.0
46,127000.0
1373,166000.0
2044,215000.0
991,190000.0
876,64000.0
773,116000.0
1219,108500.0
1126,157000.0
4,167000.0
2081,153000.0
1003,107000.0
1980,140000.0
2037,255900.0
263,130000.0
1854,133000.0
612,260000.0
443,260000.0
1002,402861.0
1077,130000.0
837,135000.0
681,157500.0
1715,231000.0
304,189000.0
1365,144500.0
1840,202500.0
313,176000.0
149,176000.0
1148,161000.0
1213,172785.0
574,194000.0
1721,219500.0
1688,160000.0
50,274970.0
1834,260000.0
726,175900.0
833,122000.0
1377,140000.0
1115,261329.0
1166,355000.0
470,214500.0
971,286500.0
653,119164.0
399,236500.0
511,114000.0
1894,159000.0
320,80000.0
19,137500.0
684,176000.0
35,140000.0
902,158000.0
2076,157000.0
827,230000.0
524,135000.0
407,395192.0
920,128200.0
537,153000.0
758,172500.0
1705,271500.0
2148,340000.0
1062,184000.0
1199,185900.0
245,82000.0
1416,212900.0
1127,278000.0
784,80000.0
1409,129000.0
489,187000.0
154,37900.0
1662,319900.0
961,104900.0
1686,119000.0
853,196500.0
1311,224900.0
625,108538.0
1815,83000.0
685,205000.0
1846,157500.0
569,147983.0
565,99500.0
1758,124500.0
1816,418000.0
17,120000.0
127,284000.0
1346,146800.0
1279,275000.0
2179,163000.0
927,105000.0
980,112000.0
252,141000.0
190,119916.0
1139,142000.0
992,135000.0
699,164700.0
1956,167800.0
606,290000.0
180,78000.0
301,256900.0
496,115000.0
2006,146500.0
2022,139000.0
1961,139000.0
2069,127000.0
1933,125500.0
517,159895.0
1396,85000.0
1069,72500.0
476,269790.0
157,105000.0
1243,167000.0
1195,205000.0
16,127000.0
1535,126000.0
1072,75200.0
2181,270000.0
546,212109.0
1539,107500.0
658,333168.0
1915,146500.0
1852,625000.0
1019,279500.0
1962,248000.0
1504,146000.0
959,131750.0
2136,295000.0
283,162500.0
1632,318000.0
797,149000.0
1916,122500.0
225,178000.0
26,127500.0
2071,153500.0
1799,220000.0
437,85000.0
2191,176000.0
1388,270000.0
229,124500.0
37,195500.0
1693,144900.0
749,152000.0
1045,227000.0
1398,106250.0
469,320000.0
2002,137900.0
2178,405000.0
687,194500.0
1056,112000.0
639,168000.0
2025,180000.0
1218,169000.0
1158,176000.0
1415,185000.0
1527,185000.0
1954,318000.0
1300,183000.0
2103,96500.0
800,173000.0
1603,415000.0
160,170000.0
1704,135000.0
956,235000.0
1743,125000.0
1186,309000.0
821,166000.0
1729,128500.0
2059,99000.0
877,172500.0
1919,330000.0
913,127000.0
1884,254900.0
152,231713.0
98,203000.0
2074,114504.0
509,204500.0
1135,125000.0
1250,137000.0
1964,110000.0
1875,245350.0
103,171000.0
1445,170000.0
1443,222000.0
1648,230000.0
586,185000.0
627,128900.0
1943,175000.0
1696,192100.0
1143,260000.0
53,55000.0
151,120000.0
403,115000.0
1154,155900.0
207,193879.0
2141,538000.0
1682,219500.0
1122,216000.0
1256,126000.0
8,100000.0
1014,117500.0
2087,239000.0
1060,217000.0
452,151000.0
1675,150000.0
253,165000.0
1327,93500.0
896,153000.0
2049,97000.0
880,109500.0
1595,175000.0
2138,160500.0
623,105500.0
345,146000.0
2013,262500.0
1787,259000.0
262,93500.0
1634,129500.0
1321,219000.0
1438,81000.0
150,174500.0
1969,112000.0
472,179200.0
1976,145000.0
1802,146000.0
640,108959.0
871,126000.0
2137,163500.0
550,149500.0
2077,261500.0
1959,167500.0
928,144800.0
488,217300.0
1843,286000.0
1734,204000.0
2096,209000.0
1171,370967.0
146,154000.0
2015,241500.0
1986,105500.0
1369,140000.0
402,102000.0
2152,218836.0
954,277500.0
2133,227875.0
659,240000.0
1794,93000.0
1372,275000.0
463,332000.0
1349,155000.0
186,379000.0
1147,325000.0
1224,320000.0
608,92000.0
143,239900.0
751,181000.0
1534,184900.0
1930,192000.0
981,250000.0
197,163000.0
1633,172000.0
883,149350.0
1860,172500.0
279,233170.0
293,143900.0
766,185850.0
400,284000.0
122,76500.0
1207,161500.0
202,159950.0
1462,117000.0
835,127000.0
246,132000.0
1439,320000.0
1733,239900.0
1695,148000.0
729,79500.0
1707,101800.0
2186,79900.0
1153,277000.0
1661,155000.0
1426,126000.0
384,257500.0
1248,60000.0
1759,290000.0
2020,108000.0
854,168000.0
1589,100000.0
219,189000.0
641,155000.0
1,271900.0
698,201000.0
1636,89000.0
1291,130500.0
2095,287000.0
1520,116050.0
1853,466500.0
1136,140000.0
2124,237000.0
1631,154000.0
1998,251000.0
663,290000.0
683,91300.0
1257,180000.0
317,279700.0
648,199900.0
1434,138887.0
1479,184900.0
709,114500.0
1282,113000.0
1768,178000.0
972,282922.0
1306,112500.0
1400,173000.0
1408,145500.0
1496,294323.0
2038,181900.0
1529,157500.0
1663,192500.0
1354,180000.0
2143,170000.0
2158,451950.0
1643,274000.0
1051,130000.0
795,110000.0
1597,279900.0
1819,144000.0
1722,212500.0
1183,125000.0
1059,214000.0
540,272000.0
1678,147000.0
1757,75000.0
1923,148000.0
95,202000.0
1020,105000.0
563,235000.0
863,207000.0
1484,185000.0
1881,287500.0
1038,267000.0
206,209200.0
392,200000.0
870,145000.0
397,120000.0
2112,255000.0
1028,194500.0
1485,134800.0
960,172900.0
1570,115000.0
1895,127500.0
804,115000.0
1751,190000.0
502,136500.0
779,219210.0
1863,267300.0
200,110000.0
2088,143000.0
1796,260000.0
378,158000.0
418,197900.0
1698,129000.0
391,149900.0
1522,145000.0
1162,246900.0
1495,134900.0
2027,85000.0
1152,220000.0
1367,79000.0
64,102000.0
2062,315000.0
1180,136000.0
492,80000.0
379,295493.0
763,300000.0
791,221000.0
1076,90500.0
878,116000.0
337,183000.0
1016,98000.0
1275,145000.0
455,155000.0
815,119500.0
995,130000.0
1981,235000.0
201,100500.0
161,114000.0
1579,172500.0
702,169000.0
1500,132000.0
1129,143000.0
1021,156450.0
1585,110500.0
1955,338931.0
34,193500.0
775,89000.0
1478,250000.0
1390,181000.0
2139,142000.0
1363,220000.0
2041,130000.0
241,180000.0
2061,190000.0
600,243000.0
1297,409900.0
2068,214000.0
646,103000.0
1528,438780.0
1267,168500.0
1899,259500.0
562,185000.0
189,144500.0
1806,450000.0
975,191500.0
2047,110000.0
1082,315000.0
474,35000.0
747,338500.0
21,161000.0
459,221800.0
1184,139500.0
955,85500.0
1215,240900.0
1515,315750.0
769,217000.0
1685,108000.0
130,205000.0
2135,392000.0
1482,127000.0
330,109500.0
1238,203000.0
466,120500.0
2169,157000.0
1638,82000.0
1095,72000.0
1130,188000.0
1294,149900.0
860,120000.0
